day,flag_weekend,kd_armada,asal,tujuan,kapasitas,penumpang,waktu_keberangkatan,load_factor,urutan_keberangkatan
Sunday,1,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-01 08:30:00,36.84210526315789,8
Sunday,1,ID-JK 2310,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-01 08:30:00,21.052631578947366,9
Sunday,1,ID-JK 2311,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-01 08:30:00,47.368421052631575,10
Sunday,1,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,8.0,2024-12-01 08:30:00,42.10526315789473,11
Sunday,1,ID-JK 2306,stasiun gambir,bandara soekarno hatta,19,12.0,2024-12-01 09:00:00,63.1578947368421,12
Sunday,1,ID-JK 2304,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-01 10:30:00,26.31578947368421,13
Sunday,1,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-01 14:00:00,26.31578947368421,14
Sunday,1,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-01 14:00:00,47.368421052631575,15
Sunday,1,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,10.0,2024-12-01 14:00:00,52.63157894736842,16
Sunday,1,ID-JK 2306,stasiun gambir,bandara soekarno hatta,19,8.0,2024-12-01 14:00:00,42.10526315789473,17
Sunday,1,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,3.0,2024-12-01 14:00:00,15.789473684210526,18
Sunday,1,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-01 14:00:00,5.263157894736842,19
Sunday,1,ID-JK 2309,stasiun gambir,bandara soekarno hatta,19,10.0,2024-12-01 14:00:00,52.63157894736842,20
Sunday,1,ID-JK 2310,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-01 14:00:00,47.368421052631575,21
Sunday,1,ID-JK 2311,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-01 14:00:00,36.84210526315789,22
Sunday,1,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,6.0,2024-12-01 14:00:00,31.57894736842105,23
Sunday,1,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-01 17:00:00,5.263157894736842,24
Sunday,1,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-01 21:30:00,5.263157894736842,25
Sunday,1,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-01 21:30:00,5.263157894736842,26
Sunday,1,ID-JK 2303,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-01 21:30:00,5.263157894736842,27
Sunday,1,ID-JK 2304,stasiun gambir,bandara soekarno hatta,19,3.0,2024-12-01 21:30:00,15.789473684210526,28
Sunday,1,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-01 21:30:00,21.052631578947366,29
Sunday,1,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,2.0,2024-12-01 21:30:00,10.526315789473683,30
